id,ubicacion,seccion,vol_dosis,init_dosis,delta hora,servo min_angle,servo max_angle,servo delta_angle,delta_t,error_vol,green_led,blue_led,last_update,last_dosis,last_check,state,ip
1,plaza norte,desechos,666,7:10:00,4,4,8,5,0.3,-5,17,4,"['20/11/2019, 15:32:11']","['20/11/2019, 15:10:00']","['20/11/2019, 15:32:11']",401,192.168.43.2
2,plaza norte,carnes,275,7:10:00,4,3,7,5,0.2,25,17,4,"['20/11/2019, 16:10:10']","['14/11/2019, 19:10:00']","['20/11/2019, 16:10:10']",404,192.168.43.3
3,limatambo,degustacion,555,7:10:00,4,3,7,5,0.2,-4,17,4,"['18/11/2019, 14:08:25']","['18/11/2019, 11:10:00']","['18/11/2019, 14:08:25']",402,192.168.43.4
4,limatambo,patio de comidas,555,7:10:00,4,3,7,5,0.2,10,4,17,"['18/10/2019, 14:39:07']","['18/11/2019, 11:10:00']","['18/10/2019, 14:39:07']",402,192.168.43.5
5,aurora,pescados,666,7:10:00,4,3,7,5,0.2,19,4,17,"['17/10/2019, 15:48:20']","['17/10/2019, 15:10:00']","['17/10/2019, 15:48:20']",401,192.168.43.6
6,canada,desechos,555,7:10:00,4,3,7,5,0.2,15,17,4,"['16/11/2019, 16:27:50']","['16/11/2019, 15:10:00']","['16/11/2019, 16:27:50']",401,192.168.43.7
7,2 de mayo,wong online,555,7:10:00,4,0,0,0,0.2,0,17,4,"['21/11/2019, 18:24:11']","['21/11/2019, 15:10:10']","['21/11/2019, 18:24:11']",401,192.168.43.8
8,2 de mayo,degustacion,222,7:10:00,4,0,0,0,0.2,0,17,4,"['21/11/2019, 18:55:32']","['21/11/2019, 15:10:10']","['21/11/2019, 18:55:32']",401,192.168.43.9
9,,,0,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.10
10,,,0,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.11
11,,,0,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.12
12,,,,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.13
13,,,,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.14
14,,,,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.15
15,,,,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.16
16,,,,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.17
17,,,,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.18
18,,,,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.19
19,,,,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.20
20,,,,7:00:00,4,0,0,0,0.2,0,17,4,,,"['09/23/2019, 18:24:11']",401,192.168.43.21
,,,,,,,,,0.2,,,,,,,,
